post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47746610,All elementary functions from a single binary operator,entertainment,353,99,pizza,2026-04-13 14:45:27,0.2796610169491525,True
47748064,The Economics of Software Teams: Why Most Engineering Orgs Are Flying Blind,technology,116,61,kiyanwang,2026-04-13 14:45:28,0.5213675213675214,False
47745284,Taking on CUDA with ROCm: 'One Step After Another',entertainment,159,119,mindcrime,2026-04-13 14:45:29,0.74375,False
47741701,DIY Soft Drinks,entertainment,428,114,_Microft,2026-04-13 14:45:31,0.26573426573426573,True
47738827,Bring Back Idiomatic Design (2023),entertainment,554,304,phil294,2026-04-13 14:45:32,0.5477477477477477,True
47742200,Show HN: boringBar – a taskbar-style dock replacement for macOS,entertainment,363,197,a-ve,2026-04-13 14:45:33,0.5412087912087912,True
47737542,Optimization of 32-bit Unsigned Division by Constants on 64-bit Targets,entertainment,75,7,mpweiher,2026-04-13 14:45:35,0.09210526315789473,False
47744540,A perfectable programming language,technology,121,42,yuppiemephisto,2026-04-13 14:45:36,0.3442622950819672,False
47741527,Ask HN: What Are You Working On? (April 2026),entertainment,215,668,david927,2026-04-13 14:45:37,3.0925925925925926,False
47702887,Most people can't juggle one ball,entertainment,348,108,surprisetalk,2026-04-13 14:45:38,0.30945558739255014,True
47719490,I gave every train in New York an instrument,technology,274,52,joshuawolk,2026-04-13 14:45:40,0.1890909090909091,True
47747017,"Apple's accidental moat: How the ""AI Loser"" may end up winning",technology,179,172,walterbell,2026-04-13 14:45:41,0.9555555555555556,False
47739174,Show HN: Oberon System 3 runs natively on Raspberry Pi 3 (with ready SD card),entertainment,194,44,Rochus,2026-04-13 14:45:42,0.22564102564102564,False
47738883,Tell HN: Docker pull fails in Spain due to football Cloudflare block,technology,875,324,littlecranky67,2026-04-13 14:45:44,0.3698630136986301,True
47738978,"We have a 99% email reputation, but Gmail disagrees",technology,249,226,em-bee,2026-04-13 14:45:45,0.904,False
47747595,A Canonical Generalization of OBDD,entertainment,13,5,luu,2026-04-13 14:45:46,0.35714285714285715,False
47737292,Is math big or small?,entertainment,39,12,robinhouston,2026-04-13 14:45:48,0.3,False
47749222,"Caffeine, cocaine, and painkillers detected in sharks from The Bahamas",technology,7,2,LostMyLogin,2026-04-13 14:45:49,0.25,False
47733217,Exploiting the most prominent AI agent benchmarks,technology,523,132,Anon84,2026-04-13 14:45:50,0.25190839694656486,True
47743730,"Google removes ""Doki Doki Literature Club"" from Google Play",sports,448,222,super256,2026-04-13 14:45:52,0.49443207126948774,True
47739313,Seven countries now generate nearly all their electricity from renewables (2024),entertainment,574,332,mpweiher,2026-04-13 14:45:53,0.577391304347826,True
47738094,JVM Options Explorer,entertainment,193,86,0x54MUR41,2026-04-13 14:45:54,0.44329896907216493,False
47744255,I ran Gemma 4 as a local model in Codex CLI,technology,55,18,dvaughan,2026-04-13 14:45:56,0.32142857142857145,False
47741460,How long-distance couples use digital games to facilitate intimacy (2025),sports,96,30,radeeyate,2026-04-13 14:45:57,0.30927835051546393,False
47744132,Uncharted island soon to appear on nautical charts,technology,85,43,tannhaeuser,2026-04-13 14:45:58,0.5,False
47747248,"Haunt, the 70s text adventure game, is now playable on a website",sports,55,18,jscalo,2026-04-13 14:46:00,0.32142857142857145,False
47737376,Phyphox – Physical Experiments Using a Smartphone,entertainment,215,34,_Microft,2026-04-13 14:46:01,0.1574074074074074,False
47739260,Pro Max 5x quota exhausted in 1.5 hours despite moderate usage,entertainment,634,560,cmaster11,2026-04-13 14:46:03,0.8818897637795275,True
47743628,The peril of laziness lost,entertainment,386,128,gpm,2026-04-13 14:46:04,0.330749354005168,True
47706560,A Tour of Oodi,entertainment,138,42,zdw,2026-04-13 14:46:06,0.302158273381295,False
47743096,"Zed, A sans for the needs of 21st century (2024)",entertainment,37,13,yurivish,2026-04-13 14:46:07,0.34210526315789475,False
47728879,Mark's Magic Multiply,entertainment,48,4,luu,2026-04-13 14:46:08,0.08163265306122448,False
47741889,Show HN: Claudraband – Claude Code for the Power User,technology,105,38,halfwhey,2026-04-13 14:46:09,0.3584905660377358,False
47741393,Textbooks and Methods of Note-Taking in Early Modern Europe (2008),entertainment,38,0,mooreds,2026-04-13 14:46:10,0.0,False
47737876,"Doom, Played over Curl",sports,107,27,creaktive,2026-04-13 14:46:12,0.25,False
47748036,"X Randomly Banning Users for ""Inauthentic Behavior""",entertainment,61,64,crmrc114,2026-04-13 14:46:15,1.032258064516129,False
47717690,Cooperative Vectors Introduction,entertainment,47,3,JasperBekkers,2026-04-13 14:46:16,0.0625,False
47743819,Basics of Radar Technology,technology,22,0,_Microft,2026-04-13 14:46:18,0.0,False
47736476,Anthropic downgraded cache TTL on March 6th,entertainment,509,394,lsdmtme,2026-04-13 14:46:19,0.7725490196078432,True
47738864,Why AI Sucks at Front End,technology,84,97,tobr,2026-04-13 14:46:21,1.1411764705882352,False
47741531,"Bouncer: Block ""crypto"", ""rage politics"", and more from your X feed using AI",technology,46,87,steveharing1,2026-04-13 14:46:22,1.851063829787234,False
47738343,The Physics of GPS,science,128,34,maouida,2026-04-13 14:46:23,0.26356589147286824,False
47746577,State of Homelab 2026,entertainment,81,78,swq115,2026-04-13 14:46:25,0.9512195121951219,False
47745120,Tech valuations are back to pre-AI boom levels,technology,133,36,akyuu,2026-04-13 14:46:26,0.26865671641791045,False
47706423,An Interview with Pat Gelsinger,entertainment,107,67,zdw,2026-04-13 14:46:27,0.6203703703703703,False
47735535,The End of Eleventy,entertainment,213,175,ValentineC,2026-04-13 14:46:28,0.8177570093457944,False
47736555,I run multiple $10K MRR companies on a $20/month tech stack,technology,881,484,tradertef,2026-04-13 14:46:30,0.5487528344671202,True
47724352,Filing the corners off my MacBooks,entertainment,1370,650,normanvalentine,2026-04-13 14:46:31,0.47410649161196206,True
